03501,10Holtsville,02NY,07Suffolk,0940.815399,10-73.045097
03544,10Holtsville,02NY,07Suffolk,0940.815399,10-73.045097
041001,06Agawam,02MA,07Hampden,0942.070202,10-72.622704
041002,07Amherst,02MA,09Hampshire,0942.367100,10-72.464600
041003,07Amherst,02MA,09Hampshire,0942.391899,10-72.524803
041004,07Amherst,02MA,09Hampshire,0942.384499,10-72.513199
041005,05Barre,02MA,09Worcester,0942.409698,10-72.108398
041007,11Belchertown,02MA,09Hampshire,0942.275101,10-72.411003
041008,09Blandford,02MA,07Hampden,0942.182899,10-72.936096
041009,10Bondsville,02MA,07Hampden,0942.206100,10-72.340500
041010,09Brimfield,02MA,07Hampden,0942.116501,10-72.188499
041011,07Chester,02MA,07Hampden,0942.279400,10-72.988800
041012,12Chesterfield,02MA,09Hampshire,0942.392300,10-72.825600
041013,08Chicopee,02MA,07Hampden,0942.148701,10-72.607903
041014,08Chicopee,02MA,07Hampden,0942.170700,10-72.604797
041020,08Chicopee,02MA,07Hampden,0942.176399,10-72.576103
041021,08Chicopee,02MA,07Hampden,0942.170700,10-72.604797
041022,08Chicopee,02MA,07Hampden,0942.193401,10-72.554398
041026,10Cummington,02MA,09Hampshire,0942.463299,10-72.920197
041027,11Easthampton,02MA,09Hampshire,0942.266800,10-72.668999
041028,15East Longmeadow,02MA,07Hampden,0942.067200,10-72.505600
041029,09East Otis,02MA,09Berkshire,0942.190899,10-73.051697
041030,13Feeding Hills,02MA,07Hampden,0942.071800,10-72.675102
041031,12Gilbertville,02MA,09Worcester,0942.332199,10-72.198601
041032,06Goshen,02MA,09Hampshire,0942.440399,10-72.799500
041033,06Granby,02MA,09Hampshire,0942.255699,10-72.519997
041034,09Granville,02MA,07Hampden,0942.112701,10-72.952003
041035,06Hadley,02MA,09Hampshire,0942.360600,10-72.571503
041036,07Hampden,02MA,07Hampden,0942.064800,10-72.431801
041037,08Hardwick,02MA,09Worcester,0942.347900,10-72.225304
041038,08Hatfield,02MA,09Hampshire,0942.384399,10-72.616699
041039,11Haydenville,02MA,09Hampshire,0942.381802,10-72.703201
